issue_id,dataset,object,external_id,field,issue_type,severity,baseline_value,dirty_value,expected_handling,provenance
DQ-022,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-020,Advertised_Fee_ZAR__c,price_outlier,high,14900,149000,Compare with screenshot/reference catalogue; assess misplaced zero before correction.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-023,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-021,Advertised_Fee_ZAR__c,price_outlier,high,13500,135000,Compare with screenshot/reference catalogue; assess misplaced zero before correction.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-024,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-022,Duration_Value__c,duration_outlier,high,6,60,Compare with original duration rather than assume all high values are errors.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-025,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-023,Catalogue_Section__c,category_alias,medium,Online education,online-ed,Map to Online education.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-026,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-024,Catalogue_Section__c,category_case,medium,Online education,ONLINE EDUCATION ,Trim and map category vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-027,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-025,Source_URL__c,missing_provenance,medium,https://www.redandyellow.co.za/online-ed,,Recover provenance from source references.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-028,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-026,Study_Pace__c,pace_alias,medium,Not stated,Parttime,Review against reference; spelling normalisation alone must not infer pace.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-029,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-027,Delivery_Mode__c,unverified_delivery_claim,medium,Unconfirmed,online,Do not infer mode from listing page; reconcile with source.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-030,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-001,Category__c,category_case,medium,Advanced diploma,advanced diploma ,Normalise category strings.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-031,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-004,Category__c,category_case,medium,Degree,degree ,Normalise category strings.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-032,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-007,Category__c,category_case,medium,Advanced diploma,advanced diploma ,Normalise category strings.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-033,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-010,Category__c,category_case,medium,Certificate,certificate ,Normalise category strings.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-034,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-013,Category__c,category_case,medium,Postgraduate programme,postgraduate programme ,Normalise category strings.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-035,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-016,Category__c,category_case,medium,Short course,short course ,Normalise category strings.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-036,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-001-DUP01,ROW,business_duplicate,high,RY-DIRTY-PROG-001,"{""Title__c"": ""advanced diploma in copywriting ""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-037,dirty_loadable,RY_Programme__c,RY-DIRTY-PROG-021-DUP02,ROW,business_duplicate,high,RY-DIRTY-PROG-021,"{""Title__c"": ""DATA ANALYSIS""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-038,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-001-DUP01,ROW,business_duplicate,high,RY-DIRTY-OFFER-001,"{""Title__c"": ""Advanced diploma in Copywriting""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-039,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-021-DUP02,ROW,business_duplicate,high,RY-DIRTY-OFFER-021,"{""Title__c"": ""Data analysis ""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-040,dirty_loadable,RY_Intake__c,RY-DIRTY-INTAKE-003-DUP01,ROW,business_duplicate,high,RY-DIRTY-INTAKE-003,{},Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-041,dirty_loadable,RY_Intake__c,RY-DIRTY-INTAKE-009-DUP02,ROW,business_duplicate,high,RY-DIRTY-INTAKE-009,{},Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-042,dirty_loadable,RY_Intake__c,RY-DIRTY-INTAKE-014,Start_Date__c,date_outlier,high,2027-02-15,2097-09-28,Compare with observed date; preserve source evidence.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-043,dirty_loadable,Contact,RY-DIRTY-DEMO-CON-001,FirstName,whitespace_and_case,medium,Lerato, lerato ,Trim and standardise display name.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-044,dirty_loadable,Contact,RY-DIRTY-DEMO-CON-001,LastName,case_variation,medium,Dlamini,DLAMINI,Normalise for duplicate matching.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-045,dirty_loadable,Contact,RY-DIRTY-DEMO-CON-002,Email,missing_email,medium,ayesha@example.com,,Treat as missing; do not fabricate an address.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-046,dirty_loadable,Contact,RY-DIRTY-DEMO-CON-003,Email,valid_but_suspect_email,medium,thabo@example.com,thabo.mokoenaa@example.com,Review identity evidence; syntactically valid does not establish correctness.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-047,dirty_loadable,Contact,RY-DIRTY-DEMO-CON-001-DUP01,ROW,business_duplicate,high,RY-DIRTY-DEMO-CON-001,"{""Email"": ""LERATO@EXAMPLE.COM"", ""FirstName"": ""Lerato"", ""LastName"": ""Dlamini""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-048,dirty_loadable,Contact,RY-DIRTY-DEMO-CON-003-DUP02,ROW,business_duplicate,high,RY-DIRTY-DEMO-CON-003,"{""Email"": ""thabo@example.com"", ""FirstName"": ""Thabo"", ""LastName"": ""Mokoena""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-049,dirty_loadable,Lead,RY-DIRTY-DEMO-LEAD-001-DUP01,ROW,business_duplicate,high,RY-DIRTY-DEMO-LEAD-001,"{""Email"": ""SAM@example.com"", ""FirstName"": ""Sam "", ""LastName"": ""DEMO""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-050,dirty_loadable,Lead,RY-DIRTY-DEMO-LEAD-001-DUP02,ROW,cross_object_duplicate,high,RY-DIRTY-DEMO-LEAD-001,"{""Email"": ""lerato@example.com"", ""FirstName"": ""Lerato"", ""LastName"": ""Dlamini""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-051,dirty_loadable,Lead,RY-DIRTY-DEMO-LEAD-001-DUP03,ROW,cross_object_duplicate,high,RY-DIRTY-DEMO-LEAD-001,"{""Email"": ""ayesha@example.com"", ""FirstName"": ""Ayesha"", ""LastName"": ""Patel""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-052,dirty_loadable,Account,RY-DIRTY-DEMO-ACC-001,Name,whitespace_and_case,medium,DEMO ONLY - Learning Sponsor,demo only - LEARNING sponsor ,Normalise business identity for matching.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-053,dirty_loadable,Campaign,RY-DIRTY-DEMO-CAM-001,RY_Channel__c,channel_alias,medium,Paid social,paid_social ,Map channels to a controlled vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-054,dirty_loadable,Campaign,RY-DIRTY-DEMO-CAM-001-DUP01,ROW,business_duplicate,high,RY-DIRTY-DEMO-CAM-001,"{""Name"": ""demo - september data courses ""}",Identify the business duplicate across distinct external IDs; preserve deliberately dirty sample until cleanup is requested.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-055,dirty_loadable,Opportunity,RY-DIRTY-DEMO-OPP-001,RY_Expected_Value_ZAR__c,pipeline_value_outlier,high,13500,135000,Reconcile against expected programme fee.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-056,dirty_loadable,Opportunity,RY-DIRTY-DEMO-OPP-002,RY_Sample_Stage__c,misspelled_status,medium,Application submitted,application submited,Map to Application submitted.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-057,dirty_loadable,Opportunity,RY-DIRTY-DEMO-OPP-003,CloseDate,stale_close_date,high,2026-09-25,2025-09-25,Check timeline and business stage.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-058,dirty_loadable,RY_Programme_Enquiry__c,RY-DIRTY-DEMO-ENQ-001,Channel__c,channel_alias,medium,Website,web form,Map to Website.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-059,dirty_loadable,RY_Programme_Enquiry__c,RY-DIRTY-DEMO-ENQ-002,Status__c,status_case,medium,New,new ,Trim and normalise.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-060,dirty_loadable,RY_Application__c,RY-DIRTY-DEMO-APP-001,Decision_Date__c,decision_before_application,high,2026-08-25,2026-08-01,Flag impossible sequence for this sample.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-061,dirty_loadable,RY_Application__c,RY-DIRTY-DEMO-APP-002,Status__c,misspelled_status,medium,Submitted,Submited,Map to Submitted.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-062,dirty_loadable,RY_Student__c,RY-DIRTY-DEMO-STU-001,Student_Number__c,identifier_format,medium,DEMO-RY2026001, demo-ry2026001 ,Trim and standardise business identifier; preserve external key.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-063,dirty_loadable,RY_Enrolment__c,RY-DIRTY-DEMO-ENR-001,Status__c,misspelled_status,medium,Registered,REGISTRED ,Map to Registered.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-064,dirty_loadable,RY_Enrolment__c,RY-DIRTY-DEMO-ENR-003,Agreed_Fee_ZAR__c,fee_outlier,high,12500,125000,Review against reference agreement.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-065,dirty_loadable,RY_Student_Progress__c,RY-DIRTY-DEMO-PROG-002,Risk_Band__c,risk_evidence_mismatch,high,High,Low,Investigate low attendance/marks and overdue work versus risk; scoring policy required.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-066,dirty_loadable,RY_Student_Progress__c,RY-DIRTY-DEMO-PROG-001,Week_Start__c,progress_before_intake,high,2026-09-28,2026-07-06,Flag timeline mismatch.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-067,dirty_raw,Contact,RY-DIRTY-DEMO-CON-001,Email,malformed_email,high,lerato@example.com,lerato@@example.com,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-068,dirty_raw,Contact,RY-DIRTY-DEMO-CON-002,LastName,missing_required_name,high,Patel,,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-069,dirty_raw,RY_Programme_Offering__c,RY-DIRTY-OFFER-016,Advertised_Fee_ZAR__c,currency_text_in_numeric,high,135000,"R13,500",Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-070,dirty_raw,RY_Programme_Offering__c,RY-DIRTY-OFFER-017,Duration_Value__c,text_in_numeric,high,11,eleven,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-071,dirty_raw,RY_Programme_Offering__c,RY-DIRTY-OFFER-001,Programme_Key,orphan_reference,high,RY-DIRTY-PROG-001,NO_SUCH_PROGRAMME,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-072,dirty_raw,RY_Intake__c,RY-DIRTY-INTAKE-003,Start_Date__c,invalid_date,high,2027-03-01,31/02/2027,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-073,dirty_raw,RY_Intake__c,RY-DIRTY-INTAKE-009,Start_Date__c,ambiguous_date,high,2027-02-15,03/04/27,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-074,dirty_raw,RY_Application__c,RY-DIRTY-DEMO-APP-001,Contact_Key,orphan_reference,high,RY-DIRTY-DEMO-CON-001,UNKNOWN_CONTACT,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-075,dirty_raw,RY_Student_Progress__c,RY-DIRTY-DEMO-PROG-001,Attendance_Pct__c,percentage_out_of_range,high,90,140,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-076,dirty_raw,RY_Student_Progress__c,RY-DIRTY-DEMO-PROG-002,Assessment_Average_Pct__c,negative_percentage,high,48,-5,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-077,dirty_raw,RY_Enrolment__c,RY-DIRTY-DEMO-ENR-001,Agreed_Fee_ZAR__c,negative_fee,high,13500,-13500,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-078,dirty_raw,RY_Programme__c,,RY_External_ID__c,missing_external_key,high,RY-DIRTY-PROG-001,,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-079,dirty_raw,CampaignMember,RY-DIRTY-DEMO-CM-001,Lead_Key,both_lead_and_contact,high,,RY-DIRTY-DEMO-LEAD-001,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-080,dirty_raw,RY_Programme_Enquiry__c,RY-DIRTY-DEMO-ENQ-002,Lead_Key,neither_lead_nor_contact,high,RY-DIRTY-DEMO-LEAD-001,,Quarantine this raw record. Correct only in a separate cleaned output after reconciliation.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-081,dirty_raw,Contact,RY-DIRTY-DEMO-CON-003,RY_External_ID__c,duplicate_external_key,high,Thabo,Conflicting name,Quarantine conflicting rows sharing the same external key; do not arbitrarily choose last row.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
